objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,type,format,language,display_template,object_location
tightrope,tightrope.jpg,"Henry Bellini, tightrope walker, prepares to fall into the waters below the Falls","Curtis, George E.",1873,A photograph by George E. Curtis with no caption. This photograph is of Henry Bellini preparing to fall into the waters below the Falls.,niagarafalls;niagara;tourism;tightrope,"Niagara Falls, Canada",43.088,-79.071,"George E. Curtis Photographs of Niagara Falls collection, ca1860s-1870s RG 703",Image;StillImage,image/jpeg,eng,image,/objects/tightrope.jpg
tightrope2,tightrope2.jpg,Dixon crossing Niagara,"Underwood & Underwood; Barker, George",1895,"The description reads ""(15) Dixon crossing Niagara below the Great Cantilever Bridge, U.S.A."".",niagarafalls;niagara;tourism,"Niagara Falls, Canada",43.088,-79.071,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpeg,eng,image,/objects/tightrope2.jpg
maidmist ,maidmist.jpg,"The Maid of the Mist in the Whirlpool Rapids, Niagara [ON]","Curtis, George E.",,"A photograph by George E. Curtis with the caption that reads: ""The Maid of the Mist in the Whirlpool Rapids Niagara"". The back of the image is numbered 47.",niagarafalls;niagara;tourism,"Niagara Falls, Canada",43.08,-79.05,"George E. Curtis Photographs of Niagara Falls collection, ca1860s-1870s RG 703",Image;StillImage,image/jpeg,eng,image,/object/maidmist.jpg
maidmist2,maidmist2.jpg,"Maid of the Mist, Niagara Falls, U.S.A",Underwood & Underwood,1901,"The image is described as ""(5) 'Maid of the Mist' - Nymph of the mighty cataract, Niagara Falls, U.S.A"".",niagarafalls;niagara;tourism,"Niagara Falls, Canada",43.08,-79.05,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpeg,eng,image,/objects/maidmist2.jpg
tablerock,tablerock.jpg,Man standing on Table Rock in Winter,Clifton Hotel,,A glass stereo card featuring a man standing on Table Rock in the Winter. Clifton Hotel can be seen in the background.,niagarafalls;cliftonhotel,"Niagara Falls, Canada",43.08,-79.04,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpeg,eng,image,/objects/tablerock.jpg
freeniagara,freeniagara.jpg,"Free Niagara, Prospect Point","Zahner, M.H.",,"The description reads ""Free Niagara, Prospect Point, Niagara Falls"".",niagarafalls;niagara;tourism,"Niagara Falls, Canada",43.081,-79.06966567,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpeg,eng,image,/objects/freeniagara.jpg
viewfalls,viewfalls.jpg,"View taken between the ice mountain and American Fall, Niagara","Curtis, George E.",,"A photograph by George E. Curtis with the caption that reads: ""View taken between the Ice Mountain and American Fall Niagara""/ The back of the image is numbered 96.",niagarafalls;niagara;tourism,"Niagara Falls, Canada",43.08,-79.05,"George E. Curtis Photographs of Niagara Falls collection, ca1860s-1870s RG 703",Image;StillImage,image/jpeg,eng,image,/objects/viewfalls.jpg
inclinedrailway,inclinedrailway.jpg,"The American Falls and Inclined Railway from the Ice Bridge, Niagara","Curtis, George E.",,"A photograph by George E. Curtis with the caption that reads: ""American Fall and Inclined Railway from the Ice Bridge, Niagara"". The back of the image is numbered 15.",niagarafalls;niagara;tourism;Railway,"Niagara Falls, Canada",43.08,-79.03,"George E. Curtis Photographs of Niagara Falls collection, ca1860s-1870s RG 703",Image;StillImage,image/jpeg,eng,image,/objects/inclinedrailway.jpg
icebridge,icebridge.jpg,Frozen Niagara Falls,Keystone View Company,,The image is described in German. It appears to be Niagara Falls frozen in winter with many tourists and onlookers at the base.,niagarafalls;niagara;tourism;icebridge,"Niagara Falls, Canada",43.08,-79.03,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpeg,eng,image,/objects/icebridge.jpg
fivefigures,fivefigures.jpg,Five figures in 'Sunday Best' clothing at Prospect Point,"McPherson, J.",1861,A glass stereo card of five figures in 'Sunday Best' clothing at Prospect Point with the Canadian and American Falls in the background.,NiagaraFalls;ProspectPoint;Falls,"Niagara Falls, Canada",43.08,-79.07,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpeg,eng,image,/objects/fivefigures.jpg
indigenous,indigenous.jpg,Five Indigenous people on Luna Island looking at American Falls,"Babbitt, Platt D.",1860,"A glass stereo card featuring five indigenous people on Luna Island looking at the American Falls. The photographer is Platt D. Babbitt, Niagara Falls",indigenous;people;niagara;falls,"Niagara Falls, Canada",43.08,-79.07,Niagara Falls Stereo Cards RG 599,Image;StillImage,image/jpeg,eng,image,/objects/indigenous.jpg
ferry,ferry.jpg,"Ferry at the Falls, Niagara Falls, U.S.A.",,1851,"Ferry at the Falls, Niagara Falls, U.S.A. with Geo. W. Sims at the ferry on the American shore, 31 cm. x 18 cm., May 1851.",niagarafalls;poster,"Niagara Falls, Canada",43.08,-79.07,"Niagara Falls Handbill Collection, 1838-1886, n.d. RG 551",Image;StillImage,image/jpeg,eng,image,/objects/ferry.jpg
guide1,guide1.jpg,"Guide to the Whirlpool Rapids Park, Niagara Falls, Ontario",,,"Guide to the Whirlpool Rapids Park, Niagara Falls, Ontario 18 cm. x 12 ½ cm. newsprint. There is a piece missing from upper left hand corner which does not affect text, n.d",niagarafalls;poster,"Niagara Falls, Canada",43.08,-79.07,"Niagara Falls Handbill Collection, 1838-1886, n.d. RG 551",Image;StillImage,image/jpeg,eng,image,/objects/guide1.jpg
guide2,guide2.jpg,"Burning Springs, Niagara Falls, Ontario",,,"Burning Springs, Niagara Falls, Ontario with P.S. Clark listed as proprietor, 19 1/2 x 13 cm. There is some wear on the sides of the paper which does not affect text. There is also slight staining, n.d.",niagarafalls;poster,"Niagara Falls, Canada",43.08,-79.07,"Niagara Falls Handbill Collection, 1838-1886, n.d. RG 551",Image;StillImage,image/jpeg,eng,image,/objects/guide2.jpg
guide3,guide3.jpg,"Cave of the Winds, Goat Island, U.S.A.",,,"Cave of the Winds, Goat Island, U.S.A. This is touted as the only place on the globe where rainbows form an entire circle. Geo. W. Wright is listed as the lessee. 30 cm. x 14 cm. newsprint. There is a slight wearing away of the edges. This does not affect text, n.d.",niagarafalls;poster,"Niagara Falls, Canada",43.08,-79.07,"Niagara Falls Handbill Collection, 1838-1886, n.d. RG 551",Image;StillImage,image/jpeg,eng,image,/objects/guide3.jpg
